image_filename,pair_id,question_type,question_bn,answer_bn,infographic_type,cross_section,reads_bn,strategy,source_id
PA_0027.png,R1,reasoning,২০২৪-২৫ অর্থবছরে বিনিয়োগ প্রস্তাব নিবন্ধনে দেশি ও বিদেশি বিনিয়োগের সম্মিলিত পরিমাণ কত কোটি টাকা?,"৬৬,০৫৭ কোটি টাকা",composite,False,"৫২,০৩৫ কোটি টাকা (দেশি বিনিয়োগ, ২০২৪-২৫) + ১৪,০২২ কোটি টাকা (বিদেশি বিনিয়োগ, ২০২৪-২৫) = যোগফল",,
PA_0027.png,U1,unanswerable,২০২২-২৩ অর্থবছরে বিদেশি বিনিয়োগ প্রস্তাব নিবন্ধনের পরিমাণ কত কোটি টাকা ছিল?,তথ্য নেই,composite,False,none,,
PA_0027.png,MCQ1,mcq,"আঞ্চলিক প্রতিযোগিতায় বিনিয়োগের পরিমাণ অনুযায়ী দ্বিতীয় সর্বোচ্চ অবস্থানে কোন দেশ আছে?
ক) পাকিস্তান
খ) বাংলাদেশ
গ) ভিয়েতনাম
ঘ) ভারত",গ) ভিয়েতনাম,composite,False,"ভারত ২৭.১৩, ভিয়েতনাম ২০.১৭, পাকিস্তান ২.৬৬, বাংলাদেশ ১.৫৩ বিলিয়ন ডলার (মান অনুযায়ী র‍্যাঙ্কিং)",filter_rank,M1
PA_0030.png,L1,lookup,মার্চ ২০২৩ সালে কোটি টাকার পরিমাণ কত ছিল?,১৯৮৯৯৯ কোটি টাকা,composite,False,মার্চ ২০২৩: কোটি টাকা = ১৯৮৯৯৯,,
PA_0030.png,M1,multi_step_lookup,তিনটি সময়কালের মধ্যে কোন সময়ে কোটি টাকার পরিমাণ সবচেয়ে কম ছিল?,মার্চ ২০২৩,composite,False,"ডিসেম্বর ২০২২=২০১২১১, মার্চ ২০২৩=১৯৮৯৯৯, জুন ২০২৩=২১৩১১২",filter_rank,
PA_0030.png,M2,multi_step_lookup,কোন সময়ে অ্যাকাউন্টের সংখ্যা ও কোটি টাকা দুটোই সর্বোচ্চ ছিল?,জুন ২০২৩,composite,False,"জুন ২০২৩: অ্যাকাউন্ট=১,১৩,০৩২ (সর্বোচ্চ), কোটি টাকা=২১৩১১২ (সর্বোচ্চ)",filter_rank,
PA_0030.png,R1,reasoning,ডিসেম্বর ২০২২ থেকে জুন ২০২৩ পর্যন্ত কোটি টাকার পরিমাণ কত বেড়েছে?,"১১,৯০১ কোটি টাকা",composite,False,"জুন ২০২৩ (২১৩১১২) - ডিসেম্বর ২০২২ (২০১২১১) = ১১,৯০১",,
PA_0030.png,U1,unanswerable,মোট আমানতের পরিমাণ কত টাকা ছিল?,তথ্য নেই,composite,False,none,,
PA_0030.png,MCQ1,mcq,তিনটি সময়কালের মধ্যে কোন সময়ে কোটি টাকার পরিমাণ সবচেয়ে কম ছিল?,"খ) মার্চ ২০২৩
ক) ডিসেম্বর ২০২২
গ) জুন ২০২৩
ঘ) সবগুলো সমান",composite,False,"ডিসেম্বর ২০২২=২০১২১১, মার্চ ২০২৩=১৯৮৯৯৯, জুন ২০২৩=২১৩১১২",filter_rank,M1
PA_0013.png,q1,lookup,বাংলাদেশের জনসংখ্যা কত কোটি?,১৭ কোটি,table,False,বাংলাদেশ: ১৭ কোটি,,
PA_0013.png,q2,multi_step_lookup,জনসংখ্যা ১০ কোটির কম এমন দেশগুলোর মধ্যে ফিফা র‍্যাঙ্কিং সবচেয়ে ভালো (সংখ্যায় সবচেয়ে কম) কোন দেশের?,থাইল্যান্ড,table,False,"থাইল্যান্ড: ৭.১৬ কোটি, র‍্যাঙ্কিং ৯৫; তানজানিয়া: ৭ কোটি, র‍্যাঙ্কিং ১১২; কেনিয়া: ৫.৭ কোটি, র‍্যাঙ্কিং ১১৩; মিয়ানমার: ৫.৫ কোটি, র‍্যাঙ্কিং ১৬৩",filter_rank,
PA_0013.png,q3,multi_step_lookup,তালিকার ৮ম সারিতে থাকা দেশের ফিফা র‍্যাঙ্কিং কত?,১১২,table,False,"৮ম সারি: তানজানিয়া, ফিফা র‍্যাঙ্কিং ১১২",layout_position,
PA_0013.png,q4,reasoning,ভারত ও পাকিস্তানের জনসংখ্যার মধ্যে পার্থক্য কত কোটি?,১২০.৫ কোটি,table,False,"ভারত: ১৪৬ কোটি, পাকিস্তান: ২৫.৫ কোটি, বিয়োগ = ১২০.৫ কোটি",,
PA_0013.png,q5,unanswerable,এই দেশগুলোর মধ্যে কোন দেশ সবচেয়ে বেশি ফিফা বিশ্বকাপ বাছাইপর্বে খেলেছে?,তথ্য নেই,table,False,none,,
PA_0013.png,q6,mcq,"জনসংখ্যা ১০ কোটির কম এমন দেশগুলোর মধ্যে ফিফা র‍্যাঙ্কিং সবচেয়ে ভালো (সংখ্যায় সবচেয়ে কম) কোন দেশের?
ক) তানজানিয়া
খ) থাইল্যান্ড
গ) কেনিয়া
ঘ) মিয়ানমার",খ) থাইল্যান্ড,table,False,"থাইল্যান্ড: ৭.১৬ কোটি, র‍্যাঙ্কিং ৯৫; তানজানিয়া: ৭ কোটি, র‍্যাঙ্কিং ১১২; কেনিয়া: ৫.৭ কোটি, র‍্যাঙ্কিং ১১৩; মিয়ানমার: ৫.৫ কোটি, র‍্যাঙ্কিং ১৬৩",filter_rank,q2
PA_0006.png,lookup1,lookup,সিকদার গ্রুপের ঋণের পরিমাণ কত কোটি টাকা?,"১০,২৩৩ কোটি টাকা",table,False,"সিকদার গ্রুপ: ১০,২৩৩ কোটি টাকা",,
PA_0006.png,multi1,multi_step_lookup,কোন শিল্পগোষ্ঠীর এনডিএ চুক্তির সংখ্যা সবচেয়ে কম?,ওরিয়ন গ্রুপ,table,False,"এস আলম ৩, বেক্সিমকো ৯, আরামিট ৬, সিকদার ৯, ওরিয়ন ১, নাসা ৮ — সর্বনিম্ন ওরিয়ন গ্রুপ (১টি)",filter_rank,
PA_0006.png,multi2,multi_step_lookup,৯টি এনডিএ চুক্তি করা গ্রুপগুলোর মধ্যে কোন গ্রুপের ঋণের পরিমাণ বেশি?,বেক্সিমকো গ্রুপ,table,False,"বেক্সিমকো (৯ চুক্তি, ৫৩,০৮২ কোটি টাকা) বনাম সিকদার (৯ চুক্তি, ১০,২৩৩ কোটি টাকা) — বেক্সিমকো বেশি",filter_rank,
PA_0006.png,mcq1,mcq,"কোন শিল্পগোষ্ঠীর এনডিএ চুক্তির সংখ্যা সবচেয়ে কম?
ক) নাসা গ্রুপ
খ) ওরিয়ন গ্রুপ
গ) এস আলম গ্রুপ
ঘ) আরামিট গ্রুপ",খ) ওরিয়ন গ্রুপ,table,False,"এস আলম ৩, বেক্সিমকো ৯, আরামিট ৬, সিকদার ৯, ওরিয়ন ১, নাসা ৮ — সর্বনিম্ন ওরিয়ন গ্রুপ (১টি)",filter_rank,multi1
PA_0006.png,reasoning1,reasoning,মোট ঋণের মধ্যে এস আলম গ্রুপের অংশ কত শতাংশ?,প্রায় ৬৯.৩%,table,False,"এস আলম গ্রুপের ঋণ ২,২৫,০০০ কোটি টাকা ÷ মোট ঋণ ৩,২৪,৫০১ কোটি টাকা × ১০০",,
PA_0006.png,unans1,unanswerable,বেক্সিমকো গ্রুপের এনডিএ চুক্তি কোন দেশের প্রতিষ্ঠানের সঙ্গে হয়েছে?,তথ্য নেই,table,False,none,,
PA_0004.png,q1,lookup,হা-মীম গ্রুপের রপ্তানি পরিমাণ কত কোটি ডলার?,৬৫ কোটি ডলার,horizontal_bar_chart,False,হা-মীম গ্রুপ = ৬৫,,
PA_0004.png,q2,multi_step_lookup,রপ্তানির পরিমাণ অনুযায়ী শীর্ষ তিন শিল্পগোষ্ঠীর মধ্যে তৃতীয় স্থানে কোন শিল্পগোষ্ঠী?,মঙ্গল গ্রুপ,horizontal_bar_chart,False,"ইয়াংওয়ান করপোরেশন = ৯৭, হা-মীম গ্রুপ = ৬৫, মঙ্গল গ্রুপ = ৫৬",filter_rank,
PA_0004.png,q3,multi_step_lookup,৪১ কোটি ডলার রপ্তানি করা দুটি শিল্পগোষ্ঠীর মধ্যে কোনটি তালিকায় উপরে অবস্থিত?,পলমল গ্রুপ,horizontal_bar_chart,False,"পলমল গ্রুপ = ৪১ (৮ম স্থান), প্যাসিফিক গ্রুপ = ৪১ (৯ম স্থান)",layout_position,
PA_0004.png,q4,reasoning,ইয়াংওয়ান করপোরেশন ও হা-মীম গ্রুপের রপ্তানির মধ্যে পার্থক্য কত কোটি ডলার?,৩২ কোটি ডলার,horizontal_bar_chart,False,৯৭ (ইয়াংওয়ান করপোরেশন) - ৬৫ (হা-মীম গ্রুপ) = ৩২,,
PA_0004.png,q5,unanswerable,২০২৩-২৪ অর্থবছরে হা-মীম গ্রুপের রপ্তানি পরিমাণ কত ছিল?,তথ্য নেই,horizontal_bar_chart,False,none,,
PA_0004.png,q2_mcq,mcq,"রপ্তানির পরিমাণ অনুযায়ী শীর্ষ তিন শিল্পগোষ্ঠীর মধ্যে তৃতীয় স্থানে কোন শিল্পগোষ্ঠী?
ক) ডিবিএল গ্রুপ
খ) মঙ্গল গ্রুপ
গ) হা-মীম গ্রুপ
ঘ) অনন্ত গ্রুপ",খ) মঙ্গল গ্রুপ,horizontal_bar_chart,False,"ইয়াংওয়ান করপোরেশন = ৯৭, হা-মীম গ্রুপ = ৬৫, মঙ্গল গ্রুপ = ৫৬",filter_rank,q2
PA_0018.png,lk1,lookup,মোস্তাফিজুর রহমানের উইকেট সংখ্যা কত?,৪১৬,table,False,মোস্তাফিজুর রহমান উইকেট: ৪১৬,,
PA_0018.png,mlr1,multi_step_lookup,"যাদের ইকোনমি ৭.৫ এর বেশি, তাদের মধ্যে সর্বোচ্চ উইকেট সংখ্যা কার?",ওয়াহাব রিয়াজ,table,False,ওয়াহাব রিয়াজ ইকোনমি ৭.৫৪ উইকেট ৪১৩; ট্রেন্ট বোল্ট ইকোনমি ৭.৯৪ উইকেট ৩৭১,filter_rank,
PA_0018.png,mlr2,multi_step_lookup,উইকেট তালিকায় দ্বিতীয় স্থানে থাকা বোলারের ম্যাচ সংখ্যা কত?,৩৫৬,table,False,দ্বিতীয় সারি - মোহাম্মদ আমির ম্যাচ: ৩৫৬,layout_position,
PA_0018.png,rs1,reasoning,মোস্তাফিজুর রহমান ও ট্রেন্ট বোল্টের উইকেট সংখ্যার পার্থক্য কত?,৪৫,table,False,"মোস্তাফিজুর রহমান উইকেট ৪১৬, ট্রেন্ট বোল্ট উইকেট ৩৭১; ৪১৬-৩৭১=৪৫",,
PA_0018.png,ua1,unanswerable,মোস্তাফিজুর রহমানের বোলিং গড় কত?,তথ্য নেই,table,False,none,,
PA_0018.png,mcq1,mcq,"যাদের ইকোনমি ৭.৫ এর বেশি, তাদের মধ্যে সর্বোচ্চ উইকেট সংখ্যা কার?
ক) মোহাম্মদ আমির
খ) ওয়াহাব রিয়াজ
গ) সোহেল তানভীর
ঘ) ট্রেন্ট বোল্ট",খ) ওয়াহাব রিয়াজ,table,False,ওয়াহাব রিয়াজ ইকোনমি ৭.৫৪ উইকেট ৪১৩; ট্রেন্ট বোল্ট ইকোনমি ৭.৯৪ উইকেট ৩৭১,filter_rank,mlr1
PA_0039.png,q1,lookup,বেলারুশে রাশিয়ার গ্যাস রপ্তানির পরিমাণ কত?,১৮.৮ বিলিয়ন কিউবিক মিটার,horizontal_bar_chart,False,বেলারুশ = ১৮.৮ বিলিয়ন কিউবিক মিটার,,
PA_0039.png,q2,multi_step_lookup,তালিকায় প্রদর্শিত দেশগুলোর মধ্যে গ্যাস রপ্তানির পরিমাণে তৃতীয় সর্বোচ্চ দেশ কোনটি?,বেলারুশ,horizontal_bar_chart,False,"জার্মানি = ৪২.৬, ইতালি = ২৯.২, বেলারুশ = ১৮.৮",filter_rank,
PA_0039.png,q3,multi_step_lookup,১৫ বিলিয়ন কিউবিক মিটারের বেশি গ্যাস রপ্তানি পাওয়া দেশগুলোর মধ্যে সর্বনিম্ন রপ্তানির দেশ কোনটি?,নেদারল্যান্ডস,horizontal_bar_chart,False,"জার্মানি = ৪২.৬, ইতালি = ২৯.২, বেলারুশ = ১৮.৮, তুরস্ক = ১৬.২, নেদারল্যান্ডস = ১৫.৭",filter_rank,
PA_0039.png,q4,reasoning,জার্মানি ও ইতালিতে রাশিয়ার মোট গ্যাস রপ্তানির পরিমাণ কত?,৭১.৮ বিলিয়ন কিউবিক মিটার,horizontal_bar_chart,False,"জার্মানি = ৪২.৬, ইতালি = ২৯.২, যোগফল = ৭১.৮",,
PA_0039.png,q5,unanswerable,২০২১ সালে রাশিয়ার গ্যাস রপ্তানির পরিমাণ কত ছিল?,তথ্য নেই,horizontal_bar_chart,False,none,,
PA_0039.png,q6,mcq,"তালিকায় প্রদর্শিত দেশগুলোর মধ্যে গ্যাস রপ্তানির পরিমাণে তৃতীয় সর্বোচ্চ দেশ কোনটি?
ক) তুরস্ক
খ) বেলারুশ
গ) ইতালি
ঘ) নেদারল্যান্ডস",খ) বেলারুশ,horizontal_bar_chart,False,"জার্মানি = ৪২.৬, ইতালি = ২৯.২, বেলারুশ = ১৮.৮",filter_rank,q2
PA_0025.png,lookup1,lookup,২০২২-২৩ অর্থবছরে নতুন বিদেশি বিনিয়োগ কত কোটি ডলার ছিল?,৭১ কোটি ডলার,composite,False,২০২২-২৩: ৭১ কোটি ডলার,,
PA_0025.png,filter1,multi_step_lookup,২০২০-২১ থেকে ২০২৩-২৪ সময়ের মধ্যে সবচেয়ে কম নতুন বিদেশি বিনিয়োগ কোন বছরে হয়েছিল?,২০২৩-২৪,composite,False,"২০২০-২১: ৭৩, ২০২১-২২: ১১৪, ২০২২-২৩: ৭১, ২০২৩-২৪: ৬৭ কোটি ডলার",filter_rank,
PA_0025.png,filter2,multi_step_lookup,"আঞ্চলিক প্রতিযোগিতায় যে দেশগুলোর বিনিয়োগ ২ বিলিয়ন ডলারের বেশি, তাদের মধ্যে সর্বনিম্ন বিনিয়োগ কোন দেশের?",পাকিস্তান,composite,False,"ভারত: ২৭.১৩, ভিয়েতনাম: ২০.১৭, পাকিস্তান: ২.৬৬ বিলিয়ন ডলার (২ বিলিয়ন ডলারের বেশি শর্ত পূরণকারী দেশ)",filter_rank,
PA_0025.png,reasoning1,reasoning,২০২৪-২৫ অর্থবছরে দেশি ও বিদেশি বিনিয়োগ প্রস্তাবের নিবন্ধন মিলিয়ে মোট কত কোটি টাকা হয়েছে?,"৬৬,০৫৭ কোটি টাকা",composite,True,"দেশি বিনিয়োগ ২০২৪-২৫: ৫২,০৩৫ কোটি টাকা + বিদেশি বিনিয়োগ ২০২৪-২৫: ১৪,০২২ কোটি টাকা = ৬৬,০৫৭ কোটি টাকা",,
PA_0025.png,unanswerable1,unanswerable,২০২৫ সালে ভিয়েতনামে বৈদেশিক বিনিয়োগ কত বিলিয়ন ডলার ছিল?,তথ্য নেই,composite,False,none,,
PA_0025.png,mcq1,mcq,"২০২০-২১ থেকে ২০২৩-২৪ সময়ের মধ্যে সবচেয়ে কম নতুন বিদেশি বিনিয়োগ কোন বছরে হয়েছিল?
ক) ২০২১-২২
খ) ২০২৩-২৪
গ) ২০২০-২১
ঘ) ২০২২-২৩",খ) ২০২৩-২৪,composite,False,"২০২০-২১: ৭৩, ২০২১-২২: ১১৪, ২০২২-২৩: ৭১, ২০২৩-২৪: ৬৭ কোটি ডলার",filter_rank,filter1
PA_0011.png,l1,lookup,২০২৪ সালে ভিয়েতনামের তৈরি পোশাক রপ্তানির পরিমাণ কত বিলিয়ন ডলার?,৩৪,table,False,ভিয়েতনাম ২০২৪: ৩৪ বিলিয়ন ডলার,,
PA_0011.png,ms1,multi_step_lookup,২০২৪ সালের রপ্তানি মূল্য অনুযায়ী কোন দেশ তৃতীয় স্থানে আছে?,ভিয়েতনাম,table,False,"২০২৪ সালের রপ্তানি মূল্য: চীন ১৬৫, বাংলাদেশ ৩৮, ভিয়েতনাম ৩৪, তুরস্ক ১৮, ভারত ১৬ - ক্রম অনুযায়ী তৃতীয় ভিয়েতনাম",filter_rank,
PA_0011.png,ms2,multi_step_lookup,২০২৩ থেকে ২০২৪ সালের মধ্যে কোন দেশের রপ্তানি মূল্যে সবচেয়ে বেশি প্রবৃদ্ধি হয়েছে?,ভিয়েতনাম,table,False,"ভিয়েতনাম ২০২৩: ৩১, ২০২৪: ৩৪ - বৃদ্ধি ৩ বিলিয়ন ডলার, অন্য দেশগুলোর তুলনায় সর্বোচ্চ",filter_rank,
PA_0011.png,r1,reasoning,২০২৪ সালে বাংলাদেশ ও ভিয়েতনামের রপ্তানি মূল্যের সমষ্টি কত বিলিয়ন ডলার?,৭২,table,False,বাংলাদেশ ২০২৪: ৩৮ + ভিয়েতনাম ২০২৪: ৩৪ = ৭২,,
PA_0011.png,u1,unanswerable,২০২৪ সালে পাকিস্তানের তৈরি পোশাক রপ্তানির পরিমাণ কত বিলিয়ন ডলার?,তথ্য নেই,table,False,none,,
PA_0011.png,mcq1,mcq,"২০২৪ সালের রপ্তানি মূল্য অনুযায়ী কোন দেশ তৃতীয় স্থানে আছে?
ক) বাংলাদেশ
খ) তুরস্ক
গ) ভিয়েতনাম
ঘ) ভারত",গ) ভিয়েতনাম,table,False,"২০২৪ সালের রপ্তানি মূল্য: চীন ১৬৫, বাংলাদেশ ৩৮, ভিয়েতনাম ৩৪, তুরস্ক ১৮, ভারত ১৬ - ক্রম অনুযায়ী তৃতীয় ভিয়েতনাম",filter_rank,ms1
PA_0034.png,q1,lookup,জার্মানিতে তৈরি পোশাক রপ্তানির পরিমাণ কত কোটি ডলার?,৪৫৭ কোটি ডলার,bar_chart,False,জার্মানি: ৪৫৭ কোটি ডলার,,
PA_0034.png,q2,multi_step_lookup,প্রবৃদ্ধির হার ১০ শতাংশের বেশি এমন দেশগুলোর মধ্যে সর্বোচ্চ রপ্তানি হয় কোন দেশে?,জার্মানি,bar_chart,True,"প্রবৃদ্ধি ১০ শতাংশের বেশি: জার্মানি ১০.৩৯%, নেদারল্যান্ডস ২২.১৫%, পোল্যান্ড ১০.৬৪%, কানাডা ১৪.২৯%, জাপান ১০.৮৯%; রপ্তানি: জার্মানি ৪৫৭ সর্বোচ্চ",filter_rank,
PA_0034.png,q3,multi_step_lookup,প্রবৃদ্ধির হার ৫ শতাংশের কম এমন দেশগুলোর মধ্যে সর্বনিম্ন রপ্তানি হয় কোন দেশে?,স্পেন,bar_chart,True,"প্রবৃদ্ধি ৫ শতাংশের কম: যুক্তরাজ্য ৪.১২%, স্পেন ১.৬১%; রপ্তানি: যুক্তরাজ্য ৪০৮, স্পেন ৩১৬ সর্বনিম্ন",filter_rank,
PA_0034.png,q4,reasoning,যুক্তরাষ্ট্র ও জার্মানিতে মোট তৈরি পোশাক রপ্তানির পরিমাণ কত কোটি ডলার?,১১৬৬ কোটি ডলার,bar_chart,False,যুক্তরাষ্ট্র ৭০৯ + জার্মানি ৪৫৭ = ১১৬৬,,
PA_0034.png,q5,unanswerable,২০২৩-২৪ অর্থবছরে যুক্তরাষ্ট্রে তৈরি পোশাক রপ্তানির পরিমাণ কত ছিল?,তথ্য নেই,bar_chart,False,none,,
PA_0034.png,q2_mcq,mcq,"প্রবৃদ্ধির হার ১০ শতাংশের বেশি এমন দেশগুলোর মধ্যে সর্বোচ্চ রপ্তানি হয় কোন দেশে?
ক) নেদারল্যান্ডস
খ) জার্মানি
গ) পোল্যান্ড
ঘ) কানাডা",খ) জার্মানি,bar_chart,True,"প্রবৃদ্ধি ১০ শতাংশের বেশি: জার্মানি ১০.৩৯%, নেদারল্যান্ডস ২২.১৫%, পোল্যান্ড ১০.৬৪%, কানাডা ১৪.২৯%; রপ্তানি: জার্মানি ৪৫৭ সর্বোচ্চ",filter_rank,q2
PA_0037.png,q1,lookup,১৯৯৫ সালে বাংলাদেশের গড় আয়ু কত বছর ছিল?,৫৬.৬ বছর,table,False,গড় আয়ু (১৯৯৫) = ৫৬.৬ বছর,,
PA_0037.png,q2,multi_step_lookup,"১৯৯৫, ২০২০ সালের বিশ্বব্যাংকের অনুমান এবং ২০২০ সালের প্রকৃত অর্জন - এই তিনটির মধ্যে জনসংখ্যা বৃদ্ধির হার সবচেয়ে কম ছিল কোনটিতে?",২০২০ (বিশ্বব্যাংকের অনুমান),table,False,"জনসংখ্যা বৃদ্ধির হার: ১৯৯৫=১.৮২%, ২০২০ অনুমান=১.১৫%, ২০২০ প্রকৃত=১.৩৭%",filter_rank,
PA_0037.png,q3,multi_step_lookup,টেবিলে জিডিপি প্রবৃদ্ধির হারের ঠিক পরের সারিতে কোন সূচক দেখানো হয়েছে?,মাথাপিছু আয় (ডলার),table,False,জিডিপি প্রবৃদ্ধির হার সারির পরের সারি: মাথাপিছু আয় (ডলার),layout_position,
PA_0037.png,q4,reasoning,১৯৯৫ সাল থেকে ২০২০ সালের প্রকৃত অর্জন পর্যন্ত মাথাপিছু আয় কত ডলার বেড়েছে?,১৭৬৯ ডলার,table,False,"মাথাপিছু আয়: ২০২০ (প্রকৃত)=২০৬৪, ১৯৯৫=২৯৫; ২০৬৪-২৯৫=১৭৬৯",,
PA_0037.png,q5,unanswerable,বাংলাদেশে পুরুষদের গড় আয়ু কত বছর?,তথ্য নেই,table,False,none,,
PA_0037.png,q6,mcq,"১৯৯৫, ২০২০ সালের বিশ্বব্যাংকের অনুমান এবং ২০২০ সালের প্রকৃত অর্জন - এই তিনটির মধ্যে জনসংখ্যা বৃদ্ধির হার সবচেয়ে কম ছিল কোনটিতে?
ক) ১৯৭২
খ) ২০২০ (বিশ্বব্যাংকের অনুমান)
গ) ১৯৯৫
ঘ) ২০২০ (প্রকৃত অর্জন)",খ) ২০২০ (বিশ্বব্যাংকের অনুমান),table,False,"জনসংখ্যা বৃদ্ধির হার: ১৯৯৫=১.৮২%, ২০২০ অনুমান=১.১৫%, ২০২০ প্রকৃত=১.৩৭%",filter_rank,q2
PA_0019.png,q1_lookup,lookup,২০২২-২৩ অর্থবছরে ভারত কত কোটি রুপি দিয়েছে?,১৩৩.৮০ কোটি রুপি,horizontal_bar_chart,False,২০২২-২৩ = ১৩৩.৮০ কোটি রুপি,,
PA_0019.png,q2_filter_rank1,multi_step_lookup,"যেসব অর্থবছরে ১৫০ কোটি রুপির বেশি দেওয়া হয়েছে, তাদের মধ্যে দ্বিতীয় সর্বোচ্চ পরিমাণ কোন অর্থবছরে?",২০১৪-১৫,horizontal_bar_chart,False,"২০১৪-১৫ = ১৯৭.৮৫, ২০১৫-১৬ = ১৫৫.৬৮, ২০২০-২১ = ১৭৭.৯৮, ২০২১-২২ = ২১৯.৫৩, ২০২৩-২৪ = ১৫৭.৬৩ কোটি রুপি",filter_rank,
PA_0019.png,q3_filter_rank2,multi_step_lookup,"যেসব অর্থবছরে ১৪০ কোটি রুপির কম দেওয়া হয়েছে, তাদের মধ্যে সর্বোচ্চ পরিমাণ কোন অর্থবছরে?",২০১৯-২০,horizontal_bar_chart,False,"২০১৬-১৭ = ৮২.৫৯, ২০১৭-১৮ = ৭৮.০২, ২০১৮-১৯ = ১৩১.৮১, ২০১৯-২০ = ১৩৭.৬৮, ২০২২-২৩ = ১৩৩.৮০, ২০২৪-২৫ = ৫৯.১৫, ২০২৫-২৬ = ২৫.০১ কোটি রুপি",filter_rank,
PA_0019.png,q4_reasoning,reasoning,২০২১-২২ থেকে ২০২২-২৩ অর্থবছরে ভারতের দেওয়া অর্থের পরিমাণ কত কোটি রুপি কমেছে?,৮৫.৭৩ কোটি রুপি,horizontal_bar_chart,False,"২০২১-২২ = ২১৯.৫৩ কোটি রুপি, ২০২২-২৩ = ১৩৩.৮০ কোটি রুপি; বিয়োগ = ৮৫.৭৩ কোটি রুপি",,
PA_0019.png,q5_unanswerable,unanswerable,২০১৬-১৭ অর্থবছরে ভারতের দেওয়া অর্থ কোন খাতে ব্যয় হয়েছে?,তথ্য নেই,horizontal_bar_chart,False,none,,
